,time,N,TD,CH,MREG,AC
247,2.47000,3.07352,10.49082,0.57339,0.34057,0.02506
248,2.48000,3.08424,10.49340,0.57766,0.34296,0.02533
249,2.49000,3.09495,10.49596,0.58195,0.34536,0.02559
250,2.50000,3.10565,10.49853,0.58625,0.34777,0.02586
251,2.51000,3.11634,10.50108,0.59056,0.35018,0.02613
252,2.52000,3.12702,10.50364,0.59488,0.35260,0.02641
253,2.53000,3.13769,10.50619,0.59922,0.35503,0.02668
254,2.54000,3.14835,10.50873,0.60357,0.35746,0.02696
255,2.55000,3.15900,10.51127,0.60794,0.35989,0.02723
256,2.56000,3.16965,10.51380,0.61232,0.36234,0.02751
257,2.57000,3.18028,10.51633,0.61671,0.36478,0.02779
258,2.58000,3.19091,10.51885,0.62111,0.36724,0.02808
259,2.59000,3.20153,10.52136,0.62553,0.36970,0.02836
260,2.60000,3.21213,10.52387,0.62995,0.37216,0.02865
261,2.61000,3.22273,10.52638,0.63440,0.37463,0.02893
262,2.62000,3.23332,10.52888,0.63885,0.37711,0.02922
263,2.63000,3.24390,10.53137,0.64332,0.37959,0.02951
264,2.64000,3.25448,10.53386,0.64780,0.38208,0.02980
265,2.65000,3.26504,10.53634,0.65229,0.38457,0.03010
266,2.66000,3.27560,10.53881,0.65679,0.38707,0.03039
267,2.67000,3.28614,10.54128,0.66131,0.38957,0.03069
268,2.68000,3.29668,10.54375,0.66584,0.39208,0.03099
269,2.69000,3.30721,10.54620,0.67039,0.39460,0.03129
270,2.70000,3.31773,10.54865,0.67494,0.39712,0.03159
271,2.71000,3.32824,10.55109,0.67951,0.39965,0.03189
272,2.72000,3.33875,10.55353,0.68409,0.40218,0.03220
273,2.73000,3.34924,10.55596,0.68868,0.40472,0.03250
274,2.74000,3.35973,10.55838,0.69329,0.40726,0.03281
275,2.75000,3.37021,10.56080,0.69791,0.40981,0.03312
276,2.76000,3.38068,10.56321,0.70254,0.41236,0.03343
277,2.77000,3.39114,10.56561,0.70718,0.41492,0.03374
278,2.78000,3.40159,10.56800,0.71183,0.41748,0.03406
279,2.79000,3.41204,10.57039,0.71650,0.42005,0.03437
280,2.80000,3.42247,10.57277,0.72118,0.42263,0.03469
281,2.81000,3.43290,10.57515,0.72587,0.42521,0.03501
282,2.82000,3.44332,10.57751,0.73058,0.42779,0.03533
283,2.83000,3.45373,10.57987,0.73529,0.43038,0.03566
284,2.84000,3.46413,10.58222,0.74002,0.43298,0.03598
285,2.85000,3.47453,10.58456,0.74476,0.43558,0.03631
286,2.86000,3.48491,10.58690,0.74951,0.43818,0.03663
287,2.87000,3.49529,10.58922,0.75428,0.44079,0.03696
288,2.88000,3.50566,10.59154,0.75905,0.44341,0.03729
289,2.89000,3.51603,10.59385,0.76384,0.44603,0.03763
290,2.90000,3.52638,10.59616,0.76864,0.44866,0.03796
291,2.91000,3.53673,10.59845,0.77346,0.45129,0.03829
292,2.92000,3.54706,10.60074,0.77828,0.45393,0.03863
293,2.93000,3.55739,10.60302,0.78312,0.45657,0.03897
294,2.94000,3.56772,10.60528,0.78797,0.45921,0.03931
295,2.95000,3.57803,10.60755,0.79283,0.46187,0.03965
296,2.96000,3.58834,10.60980,0.79770,0.46452,0.04000
297,2.97000,3.59863,10.61204,0.80258,0.46719,0.04034
298,2.98000,3.60892,10.61428,0.80748,0.46985,0.04069
299,2.99000,3.61921,10.61650,0.81239,0.47252,0.04104
300,3.00000,3.62948,10.61872,0.81731,0.47520,0.04139
301,3.01000,3.63975,10.62093,0.82224,0.47788,0.04174
302,3.02000,3.65001,10.62313,0.82718,0.48057,0.04209
303,3.03000,3.66026,10.62532,0.83213,0.48326,0.04245
304,3.04000,3.67050,10.62750,0.83710,0.48596,0.04281
305,3.05000,3.68074,10.62967,0.84208,0.48866,0.04316
306,3.06000,3.69096,10.63183,0.84707,0.49136,0.04352
307,3.07000,3.70118,10.63399,0.85207,0.49407,0.04389
308,3.08000,3.71140,10.63613,0.85708,0.49679,0.04425
309,3.09000,3.72160,10.63827,0.86210,0.49951,0.04461
310,3.10000,3.73180,10.64039,0.86714,0.50223,0.04498
311,3.11000,3.74199,10.64250,0.87219,0.50496,0.04535
312,3.12000,3.75217,10.64461,0.87724,0.50770,0.04572
313,3.13000,3.76234,10.64670,0.88231,0.51044,0.04609
314,3.14000,3.77251,10.64879,0.88739,0.51318,0.04646
315,3.15000,3.78267,10.65087,0.89249,0.51593,0.04684
316,3.16000,3.79282,10.65293,0.89759,0.51868,0.04721
317,3.17000,3.80296,10.65499,0.90271,0.52144,0.04759
318,3.18000,3.81310,10.65703,0.90783,0.52420,0.04797
319,3.19000,3.82323,10.65907,0.91297,0.52697,0.04835
320,3.20000,3.83335,10.66109,0.91812,0.52974,0.04873
321,3.21000,3.84346,10.66310,0.92328,0.53252,0.04912
322,3.22000,3.85357,10.66511,0.92845,0.53530,0.04950
323,3.23000,3.86367,10.66710,0.93363,0.53808,0.04989
324,3.24000,3.87376,10.66908,0.93882,0.54087,0.05028
325,3.25000,3.88384,10.67105,0.94403,0.54367,0.05067
326,3.26000,3.89392,10.67301,0.94924,0.54647,0.05106
327,3.27000,3.90399,10.67496,0.95447,0.54927,0.05146
328,3.28000,3.91405,10.67690,0.95971,0.55208,0.05185
329,3.29000,3.92411,10.67883,0.96495,0.55489,0.05225
330,3.30000,3.93415,10.68075,0.97021,0.55771,0.05265
331,3.31000,3.94419,10.68265,0.97548,0.56053,0.05305
332,3.32000,3.95423,10.68455,0.98077,0.56335,0.05345
333,3.33000,3.96425,10.68643,0.98606,0.56618,0.05386
334,3.34000,3.97427,10.68831,0.99136,0.56902,0.05426
335,3.35000,3.98428,10.69017,0.99667,0.57185,0.05467
336,3.36000,3.99428,10.69202,1.00200,0.57470,0.05508
337,3.37000,4.00428,10.69385,1.00733,0.57754,0.05549
338,3.38000,4.01427,10.69568,1.01268,0.58040,0.05590
339,3.39000,4.02425,10.69750,1.01804,0.58325,0.05631
340,3.40000,4.03422,10.69930,1.02340,0.58611,0.05673
341,3.41000,4.04419,10.70109,1.02878,0.58897,0.05715
342,3.42000,4.05415,10.70287,1.03417,0.59184,0.05756
