,time,N,TD,CH
470,4.70000,4.01536,10.98281,0.84231
471,4.71000,4.02317,10.98683,0.84548
472,4.72000,4.03098,10.99086,0.84866
473,4.73000,4.03879,10.99489,0.85185
474,4.74000,4.04659,10.99894,0.85504
475,4.75000,4.05440,11.00299,0.85823
476,4.76000,4.06221,11.00704,0.86143
477,4.77000,4.07001,11.01111,0.86463
478,4.78000,4.07782,11.01518,0.86784
479,4.79000,4.08562,11.01927,0.87105
480,4.80000,4.09343,11.02336,0.87427
481,4.81000,4.10123,11.02745,0.87749
482,4.82000,4.10904,11.03156,0.88072
483,4.83000,4.11684,11.03567,0.88395
484,4.84000,4.12464,11.03979,0.88718
485,4.85000,4.13244,11.04392,0.89042
486,4.86000,4.14025,11.04806,0.89367
487,4.87000,4.14805,11.05220,0.89691
488,4.88000,4.15585,11.05635,0.90017
489,4.89000,4.16365,11.06051,0.90343
490,4.90000,4.17145,11.06468,0.90669
491,4.91000,4.17925,11.06886,0.90995
492,4.92000,4.18705,11.07304,0.91323
493,4.93000,4.19485,11.07723,0.91650
494,4.94000,4.20264,11.08143,0.91978
495,4.95000,4.21044,11.08563,0.92307
496,4.96000,4.21824,11.08985,0.92636
497,4.97000,4.22604,11.09407,0.92965
498,4.98000,4.23384,11.09830,0.93295
499,4.99000,4.24163,11.10254,0.93625
500,5.00000,4.24943,11.10678,0.93956
501,5.01000,4.25723,11.11104,0.94287
502,5.02000,4.26502,11.11530,0.94619
503,5.03000,4.27282,11.11957,0.94951
504,5.04000,4.28062,11.12384,0.95284
505,5.05000,4.28841,11.12813,0.95617
506,5.06000,4.29621,11.13242,0.95950
507,5.07000,4.30400,11.13672,0.96284
508,5.08000,4.31180,11.14103,0.96618
509,5.09000,4.31960,11.14535,0.96953
510,5.10000,4.32739,11.14967,0.97288
511,5.11000,4.33519,11.15400,0.97624
512,5.12000,4.34298,11.15834,0.97960
513,5.13000,4.35078,11.16269,0.98297
514,5.14000,4.35857,11.16704,0.98634
515,5.15000,4.36636,11.17140,0.98971
516,5.16000,4.37416,11.17577,0.99309
517,5.17000,4.38195,11.18015,0.99647
518,5.18000,4.38975,11.18454,0.99986
519,5.19000,4.39754,11.18893,1.00325
520,5.20000,4.40534,11.19333,1.00665
521,5.21000,4.41313,11.19774,1.01005
522,5.22000,4.42093,11.20216,1.01346
523,5.23000,4.42872,11.20658,1.01687
524,5.24000,4.43652,11.21102,1.02028
525,5.25000,4.44431,11.21546,1.02370
526,5.26000,4.45211,11.21990,1.02712
527,5.27000,4.45990,11.22436,1.03055
528,5.28000,4.46770,11.22882,1.03398
529,5.29000,4.47549,11.23330,1.03742
